block_id,title,is_active,identifier,content,store_id
21,Block | About Us | top banner | english,1,banner_about_us,"<div class=""banner_top_page"" style=""background-image: url('{{view url='images/banner_aboutus.jpg'}}');"">
<div class=""container"">
<div class=""content_text"">
<div class=""name"">{{trans ""Who We Are""}}</div>
<div class=""des"">{{trans ""We are your friendly, professional, and local online travel agency""}}</div>
</div>
</div>
</div>","admin,english"
,Block | About Us | top banner | spanish,1,banner_about_us,"<div class=""banner_top_page"" style=""background-image: url('{{view url='images/banner_aboutus.jpg'}}');"">
<div class=""container"">
<div class=""content_text"">
<div class=""name"">{{trans ""Who We Are""}}</div>
<div class=""des"">{{trans ""We are your friendly, professional, and local online travel agency""}}</div>
</div>
</div>
</div>",spanish
,Block | About Us | top banner | portuguese,1,banner_about_us,"<div class=""banner_top_page"" style=""background-image: url('{{view url='images/banner_aboutus.jpg'}}');"">
<div class=""container"">
<div class=""content_text"">
<div class=""name"">{{trans ""Who We Are""}}</div>
<div class=""des"">{{trans ""We are your friendly, professional, and local online travel agency""}}</div>
</div>
</div>
</div>",portuguese
,Block | About Us | top banner | french,1,banner_about_us,"<div class=""banner_top_page"" style=""background-image: url('{{view url='images/banner_aboutus.jpg'}}');"">
<div class=""container"">
<div class=""content_text"">
<div class=""name"">{{trans ""Who We Are""}}</div>
<div class=""des"">{{trans ""We are your friendly, professional, and local online travel agency""}}</div>
</div>
</div>
</div>",french
27,Block | Affiliate Program | top banner | english,1,become-seller-banner,"<div class=""banner_category_list"" style=""background-image: url('{{view url='images/affiliate-slider.png'}}');"">
<div class=""container"">
<div class=""container_content"">
<div class=""content_text"">
<div class=""name"">Affiliate<br />Programme</div>
<div class=""des"">for Travel Bloggers</div>
</div>
</div>
</div>
</div>","admin,english"
,Block | Affiliate Program | top banner | spanish,1,become-seller-banner,"<div class=""banner_category_list"" style=""background-image: url('{{view url='images/affiliate-slider.png'}}');"">
<div class=""container"">
<div class=""container_content"">
<div class=""content_text"">
<div class=""name"">Affiliate<br />Programme</div>
<div class=""des"">for Travel Bloggers</div>
</div>
</div>
</div>
</div>",spanish
,Block | Affiliate Program | top banner | portuguese,1,become-seller-banner,"<div class=""banner_category_list"" style=""background-image: url('{{view url='images/affiliate-slider.png'}}');"">
<div class=""container"">
<div class=""container_content"">
<div class=""content_text"">
<div class=""name"">Affiliate<br />Programme</div>
<div class=""des"">for Travel Bloggers</div>
</div>
</div>
</div>
</div>",portuguese
,Block | Affiliate Program | top banner | french,1,become-seller-banner,"<div class=""banner_category_list"" style=""background-image: url('{{view url='images/affiliate-slider.png'}}');"">
<div class=""container"">
<div class=""container_content"">
<div class=""content_text"">
<div class=""name"">Affiliate<br />Programme</div>
<div class=""des"">for Travel Bloggers</div>
</div>
</div>
</div>
</div>",french
28,Block | Affiliate Program | main content | english,1,affiliate-content-main,"<div class=""row"">
<div class=""col-lg-12 text-bold text-bold-desktop"">If you are a travel blogger or you manage a website dedicated to South American<br />tourism, the Daytours4u Affiliate Program can help you make some money and add<br />a new dimension to your brand.</div>
<div class=""col-lg-12 text-bold text-bold-mobile"">If you are a travel blogger or you manage a website dedicated to South American tourism, the Daytours4u Affiliate Program can help you make some money and add a new dimension to your brand.</div>
</div>
<div class=""row"">
<div class=""col-lg-12 text-simple text-simple-desktop"">If you are a travel blogger or you manage a website dedicated to South American tourism, <br /> the Daytours4u Affiliate Program can help you make some money and add a new dimension <br /> to your brand.</div>
<div class=""col-lg-12 text-simple text-simple-mobile"">If you are a travel blogger or you manage a website dedicated to South American tourism, the Daytours4u Affiliate Program can help you make some money and add a new dimension to your brand.</div>
</div>
<div class=""row"">
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image image-1""></div>
<div class=""title"">Signing up</div>
<div class=""desc"">Once we have received your membership request, we will contact you with information about how to get started.</div>
</div>
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image  image-2""></div>
<div class=""title"">Embed your links</div>
<div class=""desc"">Incorporate your personalised links into your blog, website, social media profiles, or email signature: wherever you prefer.</div>
</div>
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image image-3""></div>
<div class=""title"">Make money</div>
<div class=""desc"">Sales generated by traffic sent to us from your referrals equals’ easy profit for you. We make money, you make money – it’s that simple.</div>
</div>
</div>","admin,english"
,Block | Affiliate Program | main content | spanish,1,affiliate-content-main,"<div class=""row"">
<div class=""col-lg-12 text-bold text-bold-desktop"">If you are a travel blogger or you manage a website dedicated to South American<br />tourism, the Daytours4u Affiliate Program can help you make some money and add<br />a new dimension to your brand.</div>
<div class=""col-lg-12 text-bold text-bold-mobile"">If you are a travel blogger or you manage a website dedicated to South American tourism, the Daytours4u Affiliate Program can help you make some money and add a new dimension to your brand.</div>
</div>
<div class=""row"">
<div class=""col-lg-12 text-simple text-simple-desktop"">If you are a travel blogger or you manage a website dedicated to South American tourism, <br /> the Daytours4u Affiliate Program can help you make some money and add a new dimension <br /> to your brand.</div>
<div class=""col-lg-12 text-simple text-simple-mobile"">If you are a travel blogger or you manage a website dedicated to South American tourism, the Daytours4u Affiliate Program can help you make some money and add a new dimension to your brand.</div>
</div>
<div class=""row"">
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image image-1""></div>
<div class=""title"">Signing up</div>
<div class=""desc"">Once we have received your membership request, we will contact you with information about how to get started.</div>
</div>
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image  image-2""></div>
<div class=""title"">Embed your links</div>
<div class=""desc"">Incorporate your personalised links into your blog, website, social media profiles, or email signature: wherever you prefer.</div>
</div>
<div class=""col-lg-4 col-md-4  col-xs-12 col-data"">
<div class=""image image-3""></div>
<div class=""title"">Make money</div>
<div class=""desc"">Sales generated by traffic sent to us from your referrals equals’ easy profit for you. We make money, you make money – it’s that simple.</div>
</div>
</div>",spanish
